;Код_доцумен;Kod_documentaList
паспорт гражданина Российской Федерации;Паспортгражданина_ Российской_ Федерацзии;Pasportgrazhdanina_Rossijskoj_FederacziiMember
свидетельство органов ЗАГС, органа исполнительной власти или органа местного самоуправления о рождении гражданина;Свид З А Г С_ Рек_кл_разм_им_у_проф_уч_о_рождении;SvidZAGS_Rek_kl_razm_im_u_prof_uch_o_rozhdeniiMember
паспорт моряка (удостоверение личности моряка);Паспортморякаудостоверение_личности_моряка;Pasportmoryakaudostoverenie_lichnosti_moryakaMember
удостоверение личности военнослужащего;Удостоверениеличностивоеннослужащего;UdostoverenielichnostivoennosluzhashhegoMember
военный билет военнослужащего;Военныйбилетвоеннослужащего;VoennyjbiletvoennosluzhashhegoMember
временное удостоверение личности гражданина Российской Федерации;Временноеудостоверениеличностигражданина;VremennoeudostoverenielichnostigrazhdaninaMember
справка об освобождении из мест лишения свободы;Справкаобосвобожденииизместлишениясвободы;SpravkaobosvobozhdeniiizmestlisheniyasvobodyMember
паспорт иностранного гражданина либо иной документ, установленный федеральным законом или признаваемый в соответствии с международным договором Российской Федерации в качестве документа, удостоверяющего личность иностранного гражданина;Паспортиностранногогражданина_иной_документ;Pasportinostrannogograzhdanina_inoj_dokumentmember
вид на жительство;Виднажителство;VidnazhitelstvoMember
разрешение на временное проживание (для лиц без гражданства);Разрешениенавременноепроживание;RazreshenienavremennoeprozhivanieMember
удостоверение беженца;Удостоверениебеженцза;UdostovereniebezhenczaMember
миграционная карта;Миграцзионнаякарта;MigraczionnayakartaMember
паспорт гражданина СССР;Паспортгражданина С С С Р;PasportgrazhdaninaSSSRMember
страховой номер индивидуального лицевого счета застрахованного лица в системе персонифицированного учета Фонда пенсионного и социального страхования Российской Федерации (СНИЛС);С Н И Л С;SNILSMember
водительское удостоверение;Водителскоеудостоверение;VoditelskoeudostoverenieMember
свидетельство о регистрации транспортного средства в органах Министерства внутренних дел Российской Федерации;Свидетелствоорегистрацзиитранспортногосредствав М В Д;SvidetelstvooregistracziitransportnogosredstvavMVDMember
